"Time", "Illuminance"
1581615606.776129, 36
1581615606.7800908, 37
1581615606.784203, 37
1581615606.788279, 36
1581615606.7923782, 36
1581615606.79651, 36
1581615606.800616, 37
1581615606.804675, 36
1581615606.8087978, 36
1581615606.812758, 36
1581615606.8167539, 36
1581615606.821053, 37
1581615606.829182, 37
1581615606.833097, 37
1581615606.837356, 37
1581615606.8414679, 36
1581615606.845551, 36
1581615606.849666, 36
1581615606.853655, 37
1581615606.857675, 36
1581615606.8618538, 36
1581615606.865972, 37
1581615606.8699892, 36
1581615606.8742468, 36
1581615606.8781939, 37
1581615606.882257, 36
1581615606.886513, 36
1581615606.890611, 38
1581615606.894646, 36
1581615606.8988118, 36
1581615606.903005, 37
1581615606.9070342, 36
1581615606.9111629, 36
1581615606.915104, 37
1581615606.91922, 36
1581615606.923415, 36
1581615606.927521, 37
1581615606.931703, 36
1581615606.935581, 36
1581615606.939803, 37
1581615606.943913, 36
1581615606.947873, 36
1581615606.952019, 36
1581615606.956189, 36
1581615606.9602811, 36
1581615606.964304, 36
1581615606.968483, 36
1581615606.973394, 36
1581615606.976531, 36
1581615606.9805682, 36
1581615606.984732, 35
1581615606.988895, 36
1581615606.993072, 36
1581615606.997168, 36
1581615607.0012312, 36
1581615607.0053241, 36
1581615607.0094562, 36
1581615607.013508, 36
1581615607.0176451, 36
1581615607.021622, 36
1581615607.025845, 37
1581615607.0297952, 37
1581615607.033994, 36
1581615607.038113, 37
1581615607.042231, 36
1581615607.0463512, 36
1581615607.050451, 36
1581615607.054446, 36
1581615607.058592, 36
1581615607.062623, 36
1581615607.066744, 36
1581615607.0707939, 36
1581615607.0750122, 37
1581615607.0789871, 36
1581615607.083182, 36
1581615607.0872881, 36
1581615607.09127, 36
1581615607.0953972, 36
1581615607.1034958, 36
1581615607.1075149, 36
1581615607.111595, 36
1581615607.1158552, 37
1581615607.1199732, 36
1581615607.124058, 36
1581615607.1281269, 36
1581615607.132152, 36
1581615607.1363552, 36
1581615607.140359, 37
1581615607.144584, 37
1581615607.1485472, 36
1581615607.152568, 36
1581615607.156836, 36
1581615607.1609669, 36
1581615607.165029, 36
1581615607.16906, 36
1581615607.173246, 36
1581615607.177345, 36
1581615607.181338, 36
1581615607.1854851, 36
1581615607.1896472, 36
1581615607.193762, 36
1581615607.197676, 36
1581615607.201905, 36
1581615607.206115, 36
1581615607.2100859, 36
1581615607.214227, 37
1581615607.218233, 36
1581615607.222429, 36
1581615607.2265, 36
1581615607.230475, 36
1581615607.2346141, 36
1581615607.2388322, 36
1581615607.2429178, 37
1581615607.2468941, 36
