"Time (s)","Illuminance (lx)"
0.000000000E0,1.390000000E2
1.100010000E-1,1.400000000E2
2.209410000E-1,1.380000000E2
3.334940000E-1,1.390000000E2
4.425970000E-1,1.380000000E2
5.520030000E-1,1.400000000E2
6.601390000E-1,1.380000000E2
7.700460000E-1,1.390000000E2
9.929770000E-1,1.400000000E2
1.101198000E0,1.380000000E2
1.211596000E0,1.400000000E2
1.319676000E0,1.390000000E2
1.429711000E0,1.400000000E2
1.539808000E0,1.390000000E2
1.649608000E0,1.400000000E2
1.759599000E0,1.390000000E2
1.869708000E0,1.400000000E2
1.979414000E0,1.390000000E2
2.089217000E0,1.400000000E2
2.199005000E0,1.390000000E2
2.310959000E0,1.400000000E2
2.421233000E0,1.390000000E2
2.530844000E0,1.400000000E2
2.640893000E0,1.390000000E2
2.749793000E0,1.400000000E2
2.860650000E0,1.380000000E2
2.973502000E0,1.400000000E2
3.081209000E0,1.390000000E2
3.191109000E0,1.400000000E2
3.299939000E0,1.390000000E2
3.411303000E0,1.400000000E2
3.521337000E0,1.390000000E2
3.852401000E0,1.400000000E2
3.960233000E0,1.380000000E2
4.071162000E0,1.400000000E2
4.180251000E0,1.390000000E2
4.510376000E0,1.400000000E2
4.621306000E0,1.390000000E2
4.731216000E0,1.400000000E2
4.839872000E0,1.390000000E2
4.949955000E0,1.400000000E2
5.060254000E0,1.390000000E2
5.170279000E0,1.400000000E2
5.281301000E0,1.390000000E2
5.390790000E0,1.400000000E2
5.500429000E0,1.390000000E2
5.618805000E0,1.400000000E2
5.719776000E0,1.390000000E2
5.829353000E0,1.400000000E2
5.940044000E0,1.390000000E2
6.050874000E0,1.400000000E2
6.159623000E0,1.390000000E2
6.270941000E0,1.400000000E2
6.379980000E0,1.380000000E2
6.491036000E0,1.400000000E2
6.599977000E0,1.390000000E2
6.931839000E0,1.400000000E2
7.041313000E0,1.390000000E2
7.150532000E0,1.400000000E2
7.262358000E0,1.390000000E2
7.371185000E0,1.400000000E2
7.480861000E0,1.390000000E2
7.590070000E0,1.400000000E2
7.700338000E0,1.380000000E2
7.811273000E0,1.400000000E2
7.920115000E0,1.390000000E2
8.031024000E0,1.400000000E2
8.140810000E0,1.390000000E2
8.251252000E0,1.400000000E2
8.360569000E0,1.390000000E2
8.694693000E0,1.400000000E2
8.801312000E0,1.380000000E2
8.909969000E0,1.400000000E2
9.020391000E0,1.390000000E2
9.351009000E0,1.400000000E2
9.460871000E0,1.390000000E2
9.571353000E0,1.400000000E2
9.681464000E0,1.390000000E2
