"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.376618028E-1,-1.893230915E0,9.337148070E-1
2.011108400E-2,2.025120258E-1,-1.701057911E0,7.484606504E-1
4.022216800E-2,8.397972584E-2,-1.461338520E0,5.465144515E-1
6.033325200E-2,-2.084195614E-2,-1.195132732E0,3.279784322E-1
8.047485300E-2,-8.745026588E-2,-9.496812820E-1,1.668487489E-1
1.005859370E-1,-6.927591562E-2,-7.615351677E-1,9.249490499E-2
1.207275390E-1,1.161217690E-2,-6.278610229E-1,1.049124897E-1
1.408691410E-1,1.428206265E-1,-5.628175735E-1,2.292710245E-1
1.610107420E-1,2.404966056E-1,-4.568171501E-1,3.449035883E-1
1.811523440E-1,2.820961475E-1,-3.106608391E-1,5.046035051E-1
2.012939450E-1,2.172492146E-1,-8.620691299E-2,5.933282375E-1
2.214355470E-1,9.534707665E-2,2.397260666E-1,6.185261607E-1
2.415771480E-1,-8.196565509E-2,6.654152870E-1,5.432329178E-1
2.617187500E-1,-2.698153853E-1,1.191587448E0,3.947531879E-1
2.818603510E-1,-4.098047912E-1,1.791094303E0,1.484522223E-1
3.020019530E-1,-4.093567133E-1,2.352809429E0,6.949603558E-3
3.221740720E-1,-2.966368198E-1,2.822993755E0,2.104836702E-2
3.423156740E-1,-7.599768043E-2,3.232092857E0,1.896350980E-1
3.624572750E-1,5.657631159E-2,3.730300426E0,3.925449252E-1
3.825988770E-1,1.565086842E-2,4.407143116E0,5.346244574E-1
4.027404780E-1,-2.566779256E-1,5.334812641E0,5.348430872E-1
4.229125980E-1,-6.812938452E-1,6.561160564E0,3.189450204E-1
4.430541990E-1,-1.052054167E0,7.948460579E0,-1.198837757E-1
4.631958010E-1,-1.054946661E0,9.081272125E0,-4.283727407E-1
4.833374020E-1,-6.928780079E-1,9.541788101E0,-3.619189858E-1
5.035095210E-1,-2.328527570E-1,9.237247467E0,2.076908946E-2
5.236511230E-1,-8.582815528E-2,8.355539322E0,3.785812259E-1
5.437927250E-1,-3.396209478E-1,7.266252518E0,3.233893514E-1
5.639343260E-1,-6.849135160E-1,6.111549377E0,-5.362361670E-2
5.841064450E-1,-7.553170919E-1,4.854888916E0,-3.553731740E-1
6.042480470E-1,-5.293170810E-1,3.469614983E0,-4.212444425E-1
6.243896480E-1,-1.448989511E-1,2.073184967E0,-2.466535717E-1
6.445312500E-1,1.706763506E-1,8.283414841E-1,-2.912500501E-2
6.647033690E-1,3.085804582E-1,-1.261243820E-1,9.682836384E-2
6.848449710E-1,2.726075649E-1,-7.873792648E-1,5.171725154E-2
7.049865720E-1,1.187383533E-1,-1.214130402E0,-1.309133470E-1
7.251281740E-1,-3.855234385E-2,-1.517889977E0,-3.557788134E-1
7.453002930E-1,-1.237283349E-1,-1.804132462E0,-5.328648090E-1
7.654418940E-1,-1.158872247E-1,-2.109195709E0,-6.415603161E-1
7.855834960E-1,-3.835797310E-3,-2.418466568E0,-6.590312719E-1
8.057250980E-1,1.664857268E-1,-2.721391678E0,-6.063249707E-1
8.258972170E-1,3.297642469E-1,-2.974725723E0,-5.784370899E-1
